code,name,.,涨幅,现价,涨跌,买价,卖价,总手,总金额,现手,1分钟涨速,涨速,实体涨幅,现均差%,换手,委比%,总市值,流通市值,流通比例,内盘,外盘,内外比,备注,利空,利好,主力净量,量比,TTM市盈率,净利润?,市净率,每股盈利,细分行业,所属行业,昨收,开盘,开盘涨幅,最高,最低,5日涨幅,10日涨幅,20日涨幅,年初至今,振幅,买量,卖量,笔数,贡献度,机构动向,异动类型,总股本,流通股本,利润总额,净利润增长率,每股净资产,金叉个数,散户数量,自选时间,自选价格,自选收益
SH603115,海星股份,--,-0.35%,17.18,-0.06,17.17,17.18,1860583,32123394,14800--,0.00%,0.00%,-1.55%,-0.49,0.78%,-42.2,4109456000,4109456000,100.00%,1061810,798773,1.33,--,无,无,-0.09,1.03,15.41,132226140,2.13,0.553,铝,工业金属,17.24,17.45,1.22%,17.46,17,-7.14%,-8.32%,-13.58%,-32.50%,2.67%,2000,16000,6297,0,-53.11,--,239200000,239200000,151007070亿,52.53%,8.08,4,9.88,--,--,--
SH600459,贵研铂业,--,-0.35%,14.3,-0.05,14.29,14.3,3440907,49625503,41800↓,0.07%,0.07%,-1.31%,-0.85,0.60%,30.81,8453542000,8136991900,96.26%,1866678,1574229,1.19,--,有,无,-0.01,0.76,21.97,261913310,2.17,0.44,其他小金属,小金属,14.35,14.49,0.98%,14.66,14.2,-10.40%,-11.18%,-11.51%,-43.37%,3.21%,15200,19866,8678,0,-17.88,--,591156780,569020420,340886060亿,-0.90%,6.6,5,1.39,--,--,--
SH688215,瑞晟智能,--,-0.35%,28.4,-0.1,28.4,28.49,105883,3032302,3250--,0.00%,0.00%,-0.80%,-0.84,0.66%,-15.85,1137136000,452454090,39.79%,64937,40946,1.59,--,无,无,0.06,0.6,138.3,7741023,2.59,0.19,其他自动化设备,自动化设备,28.5,28.63,0.46%,28.83,28.19,-5.43%,-7.67%,-9.24%,-18.51%,2.25%,1985,500,192,0,14.42,--,40040000,15931482,9040912亿,-39.42%,10.98,5,0,--,--,--
SH600926,杭州银行,--,-0.35%,14.18,-0.05,14.18,14.21,17754683,253795660,92900--,-0.07%,-0.07%,-0.91%,-0.81,0.35%,-11.08,84091298000,71757491000,85.33%,8187844,9566839,0.856,--,有,有,-0.02,1.07,7.75,6592744000,1.09,1.06,城商行,银行,14.23,14.31,0.56%,14.49,14.08,0.50%,-3.14%,-1.05%,13.71%,2.88%,18700,4700,31812,-0.02,-16.81,--,5930274900,5060471900,7384219000亿,31.67%,13.04,1,2.1,--,--,--
SZ300898,熊猫乳品,--,-0.35%,17,-0.06,17,17.02,1049694,18222887,11500↓,-0.41%,-0.41%,-2.02%,-2.11,2.04%,35.45,2128910000,876402090,41.17%,626794,422900,1.48,--,无,无,0.02,0.95,33.37,22784422,2.57,0.182,乳品,食品加工制造,17.06,17.35,1.70%,17.7,16.98,-2.58%,-6.59%,-13.71%,-48.33%,4.22%,5400,1100,3069,--,9.07,--,125230000,51553064,27664494亿,-37.28%,6.62,0,0,--,--,--
SZ002238,天威视讯,--,-0.35%,5.66,-0.02,5.66,5.67,5727400,32607626,113400--,0.00%,0.00%,-1.74%,-0.59,0.71%,13.73,4542484800,4542484800,100.00%,3409928,2317472,1.47,--,无,无,0,0.87,38.09,55028765,2.02,0.069,有线电视网络,传媒,5.68,5.76,1.41%,5.78,5.63,-6.91%,-8.12%,-30.21%,-8.71%,2.64%,7700,9425,7456,--,2.76,--,802559160,802559160,54583796亿,-29.28%,2.8,5,0,--,--,--
SZ300942,易瑞生物,--,-0.35%,16.92,-0.06,16.92,16.93,1154299,19804662,1500--,0.00%,0.00%,-1.51%,-1.4,1.08%,36.81,6782551200,1814726200,26.76%,597532,556767,1.07,--,无,无,0,0.89,30.2,151413760,6.63,0.38,专业服务,专业服务,16.98,17.18,1.18%,17.43,16.85,-2.42%,-5.74%,-9.76%,-40.86%,3.42%,6336,1400,4012,--,--,--,400860000,107253324,184620470亿,-7.28%,2.55,2,0,--,--,--
SH600339,中油工程,--,-0.35%,2.82,-0.01,2.82,2.83,35239624,100142267,123900--,0.00%,0.00%,-1.40%,-0.77,0.63%,-26.97,15744476000,15744476000,100.00%,18755650,16483974,1.14,--,无,无,-0.03,0.84,25.52,638264880,0.622,0.114,油服工程,油气开采及服务,2.83,2.86,1.06%,2.9,2.79,-7.54%,-7.54%,-3.75%,-7.69%,3.89%,91600,231300,24136,0,-10.48,--,5583147500,5583147500,865945870亿,32.80%,4.53,2,1.57,--,--,--
SH688209,英集芯,--,-0.36%,19.65,-0.07,19.65,19.66,845020,16736456,10421--,-0.05%,-0.05%,-1.16%,-0.79,2.30%,-32.68,8253000000,721269210,8.74%,475898,369122,1.29,--,无,无,-0.13,0.74,37.7,98312893,4.92,0.25,集成电路设计,半导体及元件,19.72,19.88,0.81%,20.14,19.53,-7.49%,-14.64%,-13.32%,-18.77%,3.09%,22,3245,1345,--,-43.92,--,420000000,36705812,107278161亿,161.00%,3.99,7,68.47,--,--,--
SZ300647,超频三,--,-0.36%,8.41,-0.03,8.41,8.43,3974000,33690597,60900--,-0.12%,-0.12%,-1.98%,-0.8,0.95%,-11.37,3846069800,3505898100,91.16%,2014620,1959380,1.03,--,无,无,-0.03,0.74,,30294193,3.1,0.066,LED,光学光电子,8.44,8.58,1.66%,8.62,8.36,-6.97%,-7.58%,-13.21%,2.81%,3.08%,38100,10800,10515,--,-19.28,--,457321020,416872550,44595157亿,2066%,2.71,5,0.91,--,--,--
SZ300065,海兰信,--,-0.36%,11.18,-0.04,11.17,11.18,12389201,139999770,1400--,0.00%,0.00%,-0.80%,-1.07,2.01%,18.43,7757792900,6896818800,88.90%,6235801,6153400,1.01,--,无,无,0.14,0.88,156.7,7737152,3.75,0.011,航海装备,国防军工,11.22,11.27,0.45%,11.43,11.18,0.09%,0.81%,1.09%,-26.74%,2.23%,74300,44824,11579,--,12.94,--,693899190,616888980,3607262亿,8.51%,2.98,0,-15.61,--,--,--
SH603161,科华控股,--,-0.36%,13.95,-0.05,13.95,13.96,2245300,31319020,41200--,0.07%,0.07%,-1.76%,0.01,1.68%,-33.4,1860930000,1860930000,100.00%,1190400,1054900,1.13,--,无,无,-0.16,0.61,,-52457548,1.56,-0.4,汽车零部件,汽车零部件,14,14.2,1.43%,14.2,13.83,-7.37%,-3.79%,13.78%,-4.45%,2.64%,4300,29600,6128,0,-44.55,--,133400000,133400000,-67420231亿,-260.90%,8.94,1,5.49,--,--,--
SH600835,上海机电,--,-0.36%,11.13,-0.04,11.12,11.13,2002685,22420154,29200--,0.09%,0.09%,-1.24%,-0.58,0.25%,-39.82,11383088500,8976392900,78.86%,1271585,731100,1.74,--,无,无,0,0.73,18.71,425561330,0.915,0.42,楼宇设备,专用设备,11.17,11.27,0.90%,11.33,11.08,-4.13%,-5.92%,-11.17%,-28.79%,2.24%,74200,500,5601,0,13.96,--,1022739310,806504300,730620710亿,-32.26%,12.17,5,0,--,--,--
SZ001309,德明利,--,-0.36%,52.75,-0.19,52.74,52.75,1183300,62646041,15100--,0.08%,0.08%,-1.75%,-0.36,5.92%,12.82,4220000000,1055000000,25.00%,641602,541698,1.18,--,无,无,0,0.71,42.1,44130031,3.99,0.74,计算机设备,计算机设备,52.94,53.69,1.42%,53.76,52,-2.85%,-3.05%,-0.98%,98.76%,3.32%,300,3600,5281,--,-0.66,--,80000000,20000000,46802540亿,4.91%,13.23,0,33.61,--,--,--
SH600331,宏达股份,--,-0.36%,2.76,-0.01,2.76,2.77,13670285,37974074,196400--,-0.36%,-0.36%,-1.78%,-0.64,0.67%,-28.95,5608320000,5608320000,100.00%,7240873,6429412,1.13,--,无,无,-0.05,0.8,28.41,114564075,12.05,0.056,磷肥及磷化工,化学制品,2.77,2.81,1.44%,2.83,2.73,-8.31%,-10.39%,-11.54%,-13.48%,3.61%,36600,408200,12097,0,-16.51,--,2032000000,2032000000,114686087亿,-48.61%,0.23,6,3.89,--,--,--
SH600172,黄河旋风,--,-0.36%,8.26,-0.03,8.26,8.27,18814420,156171490,242228--,-0.48%,-0.48%,-2.82%,-0.49,1.47%,5.37,11912443800,10541872500,88.49%,8966879,9847541,0.911,--,无,无,-0.04,0.82,133.7,70024937,3.58,0.05,磨具磨料,通用设备,8.29,8.5,2.53%,8.51,8.21,-6.67%,-10.12%,-14.58%,-18.70%,3.62%,37472,181200,27201,0,-7.91,--,1442184500,1276255750,61935597亿,192.20%,2.31,5,3.79,--,--,--
SZ301123,奕东电子,--,-0.36%,22.02,-0.08,22.01,22.02,1313931,29210721,27400--,0.09%,0.09%,-1.61%,-0.96,2.43%,17.8,5143872000,1191393800,23.16%,703055,610876,1.15,--,无,无,-0.13,0.78,28.05,71382928,1.71,0.31,消费电子零部件及组装,消费电子,22.1,22.38,1.27%,22.46,21.96,-7.90%,-12.38%,-15.31%,-40.37%,2.26%,12200,17000,3372,--,-43.26,--,233600000,54105077,75948898亿,-20.87%,12.91,7,28.81,--,--,--
SH600767,*ST运盛,--,-0.36%,5.48,-0.02,5.47,5.48,1255400,6940771,25500↓,0.18%,0.18%,-1.44%,-0.89,0.37%,-5.34,1868735800,1868187800,99.97%,667550,587850,1.14,--,无,无,-0.02,0.43,266.9,-5001586,7.86,-0.015,医药商业,医药商业,5.5,5.56,1.09%,5.6,5.47,-7.90%,-7.59%,-6.96%,-27.32%,2.36%,34700,500,508,--,-100,--,341010180,340910180,-6260229亿,-415.80%,0.7,1,7.25,--,--,--
SZ002984,森麒麟,--,-0.37%,29.84,-0.11,29.84,29.85,3506598,105101841,20400--,-0.03%,-0.03%,-0.57%,-0.44,1.22%,37,19386148000,8579766700,44.26%,2072698,1433900,1.45,--,无,无,-0.08,0.91,23.24,477710750,2.84,0.74,汽车零部件,汽车零部件,29.95,30.01,0.20%,30.5,29.6,-4.91%,-12.88%,-14.74%,-15.71%,3.01%,10900,1700,13423,-0.02,-45.98,--,649669850,287525690,496872320亿,20.36%,10.5,7,9.99,--,--,--
SH603585,苏利股份,--,-0.37%,18.95,-0.07,18.95,18.97,756460,14438569,7600--,0.00%,0.00%,-1.66%,-0.72,0.42%,-73.88,3411000000,3411000000,100.00%,356851,399609,0.893,--,无,无,-0.01,0.81,10.19,199115320,1.46,1.11,农药,化学制品,19.02,19.27,1.31%,19.34,18.79,-6.37%,-6.56%,-9.72%,0.91%,2.89%,3200,2100,3736,0,-32.21,--,180000000,180000000,306157090亿,105.40%,13.02,5,0,--,--,--
SZ300710,万隆光电,--,-0.37%,26.93,-0.1,26.9,26.93,1538924,41211153,56255--,-0.59%,-0.59%,-0.74%,0.56,2.35%,9.24,2679273800,1763662300,65.83%,783916,755008,1.04,--,无,无,0.09,0.72,103.7,3811552,3.97,0.038,通信网络设备及器件,通信设备,27.03,27.13,0.37%,27.5,26.25,-11.82%,-29.91%,-14.81%,-35.99%,4.62%,4000,6780,4020,--,9.84,--,99490300,65490617,10228382亿,-59.29%,6.79,6,-11.69,--,--,--
SZ300509,新美星,--,-0.37%,5.36,-0.02,5.35,5.36,1871000,10115136,43700--,-0.19%,-0.19%,-0.56%,-0.86,0.76%,-8.32,1588704000,1312575700,82.62%,972025,898975,1.08,--,无,无,-0.02,0.83,26.33,31425096,2.57,0.11,印刷包装机械,专用设备,5.38,5.39,0.19%,5.5,5.32,-4.63%,-8.69%,-11.11%,-14.65%,3.35%,10100,9500,5482,--,-100,--,296400000,244883530,47834875亿,6.97%,2.09,5,1.39,--,--,--
SH601696,中银证券,--,-0.37%,10.68,-0.04,10.67,10.68,16569047,177816070,319000--,0.00%,0.00%,-1.20%,-0.48,1.14%,-48.66,29669040000,15503987000,52.26%,8187505,8381542,0.977,--,无,无,-0.07,1.14,34.29,518941630,1.84,0.19,证券,证券,10.72,10.81,0.84%,10.88,10.56,-3.52%,-11.22%,-14.63%,-20.38%,2.99%,42200,49900,21492,-0.01,-15.61,--,2778000000,1451684200,599345860亿,-15.65%,5.8,5,8.5,--,--,--
SH600083,博信股份,--,-0.37%,8,-0.03,7.99,8,1094892,8794981,35900--,-0.12%,-0.13%,-1.36%,-0.41,0.48%,-27.83,1840000000,1823946600,99.13%,549750,545142,1.01,--,无,无,0.04,0.74,28.05,48643074,25.84,0.212,综合,综合,8.03,8.11,1.00%,8.13,7.95,-5.66%,-11.21%,-11.99%,39.86%,2.24%,12000,4800,1610,0,100,--,230000000,227993330,60308039亿,1174%,0.31,3,-5.97,--,--,--
SZ002952,亚世光电,--,-0.37%,15.98,-0.06,15.98,15.99,11905916,192163210,177600--,0.00%,0.00%,-1.60%,-1,9.11%,45.65,2626153200,2087535800,79.49%,6529734,5376182,1.21,--,无,无,0.19,1.35,36.75,48505509,3.14,0.295,面板,光学光电子,16.04,16.24,1.25%,16.6,15.82,4.38%,15.97%,10.66%,21.90%,4.86%,16600,5500,27768,--,8.73,--,164340000,130634282,56024700亿,110.60%,5.08,0,3.28,--,--,--
SZ300793,佳禾智能,--,-0.37%,13.3,-0.05,13.29,13.3,3729064,49691699,136800--,-0.15%,-0.15%,-2.13%,-0.19,2.15%,-71.44,4500571000,2307088200,51.26%,2122086,1606978,1.32,--,无,无,-0.08,0.7,50.55,73971297,1.93,0.22,消费电子零部件及组装,消费电子,13.35,13.59,1.80%,13.59,13.13,-8.53%,-9.28%,-15.23%,-37.23%,3.45%,2000,2500,8031,--,-12.41,--,338388800,173465280,76499538亿,97.54%,6.91,5,13.38,--,--,--
SZ300671,富满微,--,-0.37%,42.54,-0.16,42.53,42.54,2017916,86538831,58600--,-0.02%,-0.02%,-1.71%,-0.81,0.93%,45.57,9261999100,9231952800,99.68%,1114082,903834,1.23,--,无,无,0.09,0.76,44.24,69084911,3.85,0.32,集成电路设计,半导体及元件,42.7,43.28,1.36%,43.36,42.32,-6.40%,-15.31%,-16.78%,-47.32%,2.44%,4000,946,7012,-0.01,22.32,--,217724470,217018170,69901548亿,-78.15%,11.06,5,-18.56,--,--,--
SH688718,唯赛勃,--,-0.37%,18.6,-0.07,18.57,18.6,1812239,33968977,34793--,1.14%,1.14%,-3.63%,-0.77,3.33%,22.24,3231831600,1012739980,31.34%,1180179,632060,1.87,--,无,无,-0.04,1.04,122.7,6890104,4.67,0.04,膜材料,化工合成材料,18.67,19.3,3.37%,19.3,18.13,5.14%,3.33%,-5.63%,-34.65%,6.27%,20000,11288,2471,0,-2.74,--,173754390,54448386,7180735亿,-77.79%,3.98,0,-26.94,--,--,--
SH600125,铁龙物流,--,-0.38%,5.31,-0.02,5.31,5.32,14966500,80504067,123700--,0.00%,0.00%,-1.67%,-1.29,1.15%,-32.16,6932321200,6932321200,100.00%,8520274,6446226,1.32,--,无,无,-0.08,0.69,18.09,253870970,1.05,0.195,铁路运输,公路铁路运输,5.33,5.4,1.31%,5.48,5.28,-2.03%,-2.93%,2.51%,4.53%,3.75%,34600,159000,20887,0,-30.01,--,1305521870,1305521870,351621840亿,22.09%,5.04,0,5.49,--,--,--
SZ000576,甘化科工,--,-0.38%,10.61,-0.04,10.6,10.61,5412303,57788344,44500--,0.19%,0.19%,-1.67%,-0.63,1.26%,49,4698758600,4556881100,96.98%,2809367,2602936,1.08,--,无,无,0.01,0.71,,33419175,2.82,0.08,地面兵装,国防军工,10.65,10.79,1.31%,10.88,10.55,-10.08%,-12.02%,-20.11%,-14.57%,3.10%,12700,1300,14197,--,3.46,--,442861320,429489270,38773682亿,-55.40%,3.77,5,-1.78,--,--,--
SZ002328,新朋股份,--,-0.38%,5.29,-0.02,5.29,5.3,7478064,39870598,212000--,-0.19%,-0.19%,-1.67%,-0.78,1.32%,-16.1,4082663300,2989711700,73.23%,4466984,3011080,1.48,--,无,无,0,0.79,9.59,107453029,1.4,0.14,汽车零部件,汽车零部件,5.31,5.38,1.32%,5.42,5.26,-7.52%,-8.00%,-10.64%,-9.88%,3.01%,21000,152300,11267,--,3.2,--,771770000,565162900,171241630亿,32.52%,3.79,4,-1.17,--,--,--
SZ000938,紫光股份,--,-0.38%,15.87,-0.06,15.87,15.88,8508684,136209230,114700--,0.00%,0.00%,-1.49%,-0.87,0.30%,21.37,45389468000,45389468000,100.00%,4455970,4052714,1.1,--,无,有,-0.02,1.14,20.81,959481350,1.48,0.335,IT服务,计算机应用,15.93,16.11,1.13%,16.25,15.71,-4.46%,-5.98%,-8.27%,-30.24%,3.39%,15100,17500,16251,-0.06,-15.65,--,2860079900,2860079900,2182525600亿,3.58%,10.72,3,0.92,--,--,--
SZ000733,振华科技,--,-0.38%,118.94,-0.45,118.9,118.94,2619131,312431830,37400--,0.27%,0.27%,-1.70%,-0.29,0.51%,33.33,61626813000,61602549000,99.96%,1311798,1307333,1,--,无,无,0,0.48,27.41,1272905120,7.2,2.46,军工电子,国防军工,119.39,121,1.35%,121.3,118.19,-8.57%,-6.59%,6.02%,-4.07%,2.60%,5100,500,17395,-0.08,3.59,--,518133620,517929620,1492176000亿,147.00%,16.53,1,-2.33,--,--,--
SH600319,亚星化学,--,-0.38%,5.28,-0.02,5.28,5.29,4619200,24375003,51200--,-0.19%,-0.19%,-1.86%,0.06,1.46%,0.96,2047105500,1666336300,81.40%,2585250,2033950,1.27,--,无,无,-0.14,1.1,8.71,29842477,3.67,0.077,氯碱,化学原料,5.3,5.38,1.51%,5.42,5.2,-8.33%,-11.71%,-14.84%,-4.86%,4.15%,15400,9500,6891,0,-54.87,--,387709380,315594000,38010255亿,345.60%,1.44,6,10.62,--,--,--
SZ300810,中科海讯,--,-0.38%,15.78,-0.06,15.78,15.79,680635,10842900,40900--,0.25%,0.25%,-1.19%,-0.95,0.88%,-31.42,1862829000,1218159260,65.39%,368335,312300,1.18,--,无,有,0.01,0.89,,2849421,1.83,0.024,航海装备,国防军工,15.84,15.97,0.82%,16.16,15.74,-6.79%,-8.68%,-8.47%,-40.27%,2.65%,5700,2500,2213,--,14.33,--,118050000,77196404,3464228亿,-81.17%,8.64,4,0,--,--,--
SH600597,光明乳业,--,-0.38%,10.5,-0.04,10.49,10.5,6873786,72634135,74600--,0.10%,0.10%,-1.22%,-0.63,0.53%,70.88,14475729000,13636474000,94.20%,3878241,2995545,1.29,--,无,无,-0.02,0.94,23.62,281465290,1.82,0.2,乳品,食品加工制造,10.54,10.63,0.85%,10.72,10.47,-0.28%,-3.85%,-7.33%,-26.88%,2.37%,226800,1200,13154,0,-12.14,--,1378640900,1298711830,484672890亿,7.83%,5.76,2,0,--,--,--
SZ300844,山水比德,--,-0.38%,23.56,-0.09,23.54,23.56,376228,8977232,13600--,0.00%,0.00%,-0.93%,-1.27,2.31%,-47.11,1522918400,384499200,25.25%,192610,183618,1.05,--,无,无,-0.12,1.16,,-54102049,1.67,-0.84,工程咨询服务,建筑装饰,23.65,23.78,0.55%,24.4,23.38,-5.65%,-9.70%,-10.86%,-46.55%,4.31%,300,3900,1290,--,-49.38,--,64640000,16320000,-53506356亿,-216.20%,14.14,4,35.74,--,--,--
SH601212,白银有色,--,-0.38%,2.61,-0.01,2.6,2.61,30975564,81333370,148300--,0.00%,0.00%,-1.51%,-0.6,0.42%,17.66,19326461000,19326461000,100.00%,19146700,11828864,1.62,--,无,无,0.07,0.95,96.59,50682705,1.29,0.007,铜,工业金属,2.62,2.65,1.15%,2.67,2.58,-6.79%,-7.45%,-6.12%,-14.34%,3.44%,512500,441576,22851,0,29.91,--,7404774500,7404774500,820413020亿,174.90%,2.02,2,-5.31,--,--,--
SZ003008,开普检测,--,-0.38%,23.46,-0.09,23.46,23.47,761636,18074611,5300--,-0.17%,-0.17%,-0.59%,-1.15,2.18%,23.74,1876800000,818977550,43.64%,407714,353922,1.15,--,无,无,-0.11,1.46,28.98,35638897,1.85,0.45,专业服务,专业服务,23.55,23.6,0.21%,24.09,23.4,-4.36%,-6.16%,-16.39%,-23.78%,2.93%,400,600,2197,--,-11.99,--,80000000,34909529,41569283亿,1.47%,12.7,4,9.93,--,--,--
SZ000061,农 产 品,--,-0.38%,5.21,-0.02,5.2,5.21,4922291,25746334,70400--,0.00%,0.00%,-1.33%,-0.39,0.29%,4.31,8841183100,8841040500,100.00%,2335331,2586960,0.903,--,无,无,0.01,0.85,30.27,136035870,1.56,0.08,商业物业经营,零售,5.23,5.28,0.96%,5.31,5.16,-5.79%,-10.02%,-13.74%,-17.56%,2.87%,76100,20300,7394,--,9.19,--,1696964100,1696936800,317322290亿,-37.63%,3.35,5,-0.39,--,--,--
SZ002396,星网锐捷,--,-0.38%,18.2,-0.07,18.2,18.21,4312660,79454608,100200--,0.00%,0.00%,-1.36%,-1.22,0.74%,74.81,10615701100,10615701100,100.00%,2268761,2043899,1.11,--,无,有,-0.07,0.98,17.55,311601300,2.14,0.534,通信网络设备及器件,通信设备,18.27,18.45,0.99%,18.65,18.2,-5.06%,-9.36%,-8.73%,-22.45%,2.46%,20658,600,11044,-0.01,-40.94,--,583280280,583280280,433870020亿,25.44%,8.52,5,10.71,--,--,--
SZ000630,铜陵有色,--,-0.38%,2.6,-0.01,2.6,2.61,57985500,152059630,1034100--,-0.76%,-0.76%,-1.89%,-0.86,0.55%,-24.85,27368987000,27368589000,100.00%,31772810,26212690,1.21,--,无,无,0,0.68,8.63,1392597400,1.13,0.132,铜,工业金属,2.61,2.65,1.53%,2.66,2.59,-6.47%,-10.34%,-10.34%,-23.08%,2.68%,2304305,177400,17323,-0.04,-0.77,--,10526533300,10526380500,1963449600亿,5.41%,2.3,6,11.45,--,--,--
SH688536,思瑞浦,--,-0.38%,244.06,-0.94,244.06,244.09,642853,156896910,6149--,-0.26%,-0.26%,-1.14%,0,0.99%,53.44,29177718000,15858706000,54.35%,371777,271076,1.37,--,无,有,-0.03,0.76,55.7,235072430,8.28,1.97,集成电路设计,半导体及元件,245,246.87,0.76%,248.97,239.48,-6.51%,-41.84%,-50.19%,-52.61%,3.87%,302,200,3690,-0.01,-8.95,--,119551414,64978719,236675770亿,51.89%,29.48,5,-2.68,--,--,--
SZ000839,ST国安,--,-0.38%,2.59,-0.01,2.58,2.59,15335550,39664987,594000--,0.39%,0.39%,-1.52%,0.14,0.39%,-2.99,10152350300,10152350300,100.00%,10129800,5205750,1.95,--,无,无,-0.04,0.9,,-238183440,3.88,-0.061,通信服务,通信服务,2.6,2.63,1.15%,2.63,2.55,-3.36%,-5.13%,-6.16%,-3.36%,3.08%,55600,156300,2553,--,-13.47,--,3919826400,3919826400,-201316260亿,0.75%,0.67,2,26.05,--,--,--
SH688538,和辉光电-U,--,-0.38%,2.59,-0.01,2.58,2.59,12008861,30993931,145808--,-0.38%,-0.39%,-0.38%,0.35,0.21%,-53.04,35974150000,14759392000,41.03%,8080825,3928036,2.06,--,无,无,-0.04,0.88,,-473894160,2.12,-0.03,面板,光学光电子,2.6,2.6,0.00%,2.62,2.56,0.00%,0.39%,0.39%,-15.91%,2.31%,156849,41886,4007,-0.01,-34.61,--,13889633000,5698606800,-473894160亿,3.05%,1.22,0,14.2,--,--,--
SH603095,越剑智能,--,-0.38%,23.3,-0.09,23.29,23.3,706360,16543544,4400--,0.00%,0.00%,-0.55%,-0.52,1.89%,40,3075600000,871417670,28.33%,431300,275060,1.57,--,无,无,0.01,0.75,9.17,121285924,1.38,0.92,纺织服装设备,专用设备,23.39,23.43,0.17%,23.68,23.01,-2.06%,-0.81%,6.64%,-4.27%,2.86%,2300,800,2513,0,9.2,--,132000000,37399900,136970480亿,10.27%,16.9,0,-7.52,--,--,--
SH600288,大恒科技,--,-0.39%,12.91,-0.05,12.9,12.91,1344474,17422724,21154--,-0.08%,-0.08%,-2.49%,-0.38,0.31%,-21.51,5639088000,5639088000,100.00%,711823,632651,1.13,--,无,无,0.02,0.86,41.12,85234351,3,0.195,其他电子,其他电子,12.96,13.24,2.16%,13.24,12.81,-5.70%,-9.21%,-10.03%,-3.13%,3.32%,21800,7546,4110,0,55.71,--,436800000,436800000,91538932亿,112.90%,4.3,5,-2.25,--,--,--
SZ002221,东华能源,--,-0.39%,7.73,-0.03,7.73,7.74,9482192,73669024,159300--,-0.13%,-0.13%,-0.64%,-0.51,0.65%,-26.55,12183467600,11273609100,92.53%,4851331,4630861,1.05,--,无,无,-0.04,1,22.83,145904860,1.19,0.093,石油加工,石油加工贸易,7.76,7.78,0.26%,7.91,7.65,-9.70%,-9.70%,-12.36%,-37.53%,3.35%,37000,58700,12892,-0.02,-19.2,--,1576127800,1458422900,188486050亿,-80.60%,6.48,5,2.02,--,--,--
SZ002761,浙江建投,--,-0.39%,20.61,-0.08,20.61,20.62,12863574,269003510,218900--,0.05%,0.05%,-0.91%,-1.46,2.61%,80.41,22286419000,10152410500,45.55%,6518217,6345357,1.03,--,无,无,0.08,0.97,20.08,673413760,3.65,0.574,房屋建设,建筑装饰,20.69,20.8,0.53%,21.5,20.43,-5.89%,-16.66%,-12.48%,181.56%,5.17%,5000,21100,22919,--,11.46,--,1081340100,492596340,1047338850亿,10.39%,5.64,5,1.14,--,--,--
SH603729,龙韵股份,--,-0.39%,12.85,-0.05,12.82,12.85,681100,8798641,9000--,0.23%,0.23%,-2.06%,-0.53,0.73%,-27.9,1199393300,1199393300,100.00%,398750,282350,1.41,--,无,无,0.01,0.87,,-15541254,1.7,-0.17,广告营销,传媒,12.9,13.12,1.71%,13.17,12.74,-4.96%,-9.12%,-11.07%,-0.16%,3.33%,1600,700,1785,0,12.28,--,93338000,93338000,-16372177亿,-294.70%,7.56,3,0,--,--,--
SZ002980,华盛昌,--,-0.39%,23.09,-0.09,23.06,23.09,377450,8761922,8200--,0.13%,0.13%,-0.39%,-0.53,1.13%,-39.58,3078668200,769668210,25.00%,222950,154500,1.44,--,无,无,-0.07,0.84,24.76,61334734,3.14,0.46,电气自控设备,电力设备,23.18,23.18,0.00%,23.58,22.86,-2.98%,-4.98%,-9.77%,-21.22%,3.11%,6800,1300,1067,--,-100,--,133333400,33333400,68583540亿,-28.60%,7.36,0,10.61,--,--,--
SZ300442,润泽科技,--,-0.39%,40.77,-0.16,40.76,40.77,491774,20332518,5700--,-0.07%,-0.07%,-1.76%,-1.41,0.50%,-30.2,33448551000,4044205600,12.09%,291450,200324,1.45,--,无,无,-0.06,0.98,,-21126201,2.37,-0.21,IT服务,计算机应用,40.93,41.5,1.39%,42.16,40.76,-5.60%,-11.12%,-11.73%,-4.88%,3.42%,1700,5500,1752,--,-29.68,--,820420680,99195625,-22034255亿,-482.40%,17.21,7,14.15,--,--,--
SZ300559,佳发教育,--,-0.39%,7.64,-0.03,7.64,7.65,1503690,11601661,60505--,0.13%,0.13%,-1.16%,-0.98,0.50%,69.61,3052291300,2307089600,75.59%,963502,540188,1.78,--,有,无,0.04,0.79,32.78,69978652,2.95,0.175,软件开发,计算机应用,7.67,7.73,0.78%,7.88,7.62,-4.86%,-6.37%,-11.68%,-14.73%,3.39%,195,6600,4348,--,34.7,--,399514570,301975080,68229768亿,17.64%,2.59,3,-1.15,--,--,--
SH603283,赛腾股份,--,-0.39%,20.33,-0.08,20.32,20.33,3320560,67655320,25400--,0.10%,0.10%,-1.26%,-0.22,1.84%,70.11,3880463900,3666854500,94.50%,1709690,1610870,1.06,--,无,无,-0.14,0.7,20.18,46485972,2.74,0.244,工控设备,自动化设备,20.41,20.59,0.88%,20.74,20.06,-5.62%,-6.57%,-15.47%,-30.07%,3.33%,2000,3800,11145,0,-24.73,--,190873780,180366670,53849499亿,38.42%,7.42,2,-1.65,--,--,--
SH603515,欧普照明,--,-0.39%,15.2,-0.06,15.2,15.21,767294,11789552,13964--,0.00%,0.00%,-1.43%,-1.08,0.10%,25.61,11464002500,11457132000,99.94%,352534,414760,0.85,--,无,无,0,0.8,15.17,289937150,2.06,0.38,LED,光学光电子,15.26,15.42,1.05%,15.58,15.14,-1.04%,-5.12%,-11.94%,-24.98%,2.88%,8836,400,3232,0,--,--,754210690,753758680,340319510亿,-34.38%,7.39,1,0,--,--,--
