datetime,ADX,ADXR,APO,aroondown,aroonup,AROONOSC,BOP,CCI,CMO,DX,MACD,MFI,PPO,ROCP,RSI,STOCHslowk,STOCHslowd,STOCHRSIfastk,STOCHRSIfastd,TRIX,TRIX,1day,2day,3day,4day,5day
2018-09-14,9.568546969290145,11.537070954332716,0.4059650988385144,85.71428571428572,35.714285714285715,-50.0,0.3275862068965518,-69.25746009715647,4.836610722196954,6.640593000657807,0.23659739198130464,56.88447145641493,1.835828074342586,-0.024675867837724758,52.41830536109847,39.516129032257986,36.85617982862155,76.467247536984,38.24923954065151,0.20750698245881605,44.60219619505855,-0.021012006861063637,-0.013722126929674228,0.036449399656946824,0.029588336192109876,0.10634648370497413
2018-09-17,9.52038622898084,11.6576850939794,0.33297318254635755,78.57142857142857,28.571428571428573,-50.0,-0.4117647058823542,-101.26811594202861,-3.9662076600853053,8.89429660495988,0.21544071322750874,51.43530277816932,1.5044352718498635,-0.043969849246231305,48.01689616995735,39.377805616452484,37.890942682518975,0.0,38.24923954065151,0.1888354787329627,45.75126101012534,0.007446342531756578,0.05869469995619814,0.05168637757336869,0.13009198423127466,0.07928164695576023
2018-09-18,9.913950925167322,11.8035774194575,0.21826546712776462,100.0,21.42857142857143,-78.57142857142857,0.5555555555555517,-101.25173852572996,-0.8037622629855188,15.030291975591577,0.19370567822072543,45.12464908774515,0.9848037129190662,-0.03805938937682986,49.59811886850724,43.872429272366446,40.92212130702569,35.92537366742632,37.464207068136766,0.1696202524842816,49.37936541216833,0.05086956521739139,0.04391304347826108,0.12173913043478257,0.07130434782608708,0.0726086956521741
2018-09-19,10.703545637550556,11.926113531657098,0.1684732052859843,92.85714285714286,100.0,7.142857142857143,0.6477272727272716,97.82374897197454,17.741509171092375,20.968276898532608,0.19025362800689866,58.35043888602958,0.7567470607501758,0.02851063829787241,58.870754585546194,50.54398352456585,44.598072804461644,100.0,45.3084578891421,0.16274233348094747,55.40306925636757,-0.006619776582540204,0.06743897393462972,0.01944559371121235,0.020686801820438472,0.01158460901944558
2018-09-20,11.436740727620704,12.175932845603256,0.040557841275493445,85.71428571428572,92.85714285714286,7.142857142857143,0.0,119.4308796045102,14.635558122236375,20.96827689853262,0.1955539621334569,58.97659904801175,0.1814093882729305,-0.0016632016632016394,57.31777906111819,66.75757575757571,53.72466285150271,85.69194967388236,73.87244111376955,0.16212680839109428,53.402043922420006,0.07455226988754671,0.026239067055393583,0.027488546438983574,0.018325697625989124,0.012078300708038281
2018-09-21,13.620834940784862,13.159543023317056,0.08654175600093339,78.57142857142857,100.0,21.42857142857143,0.7729468599033813,233.38133443050154,35.223042626925924,42.01405971191891,0.23307484865927403,69.49538854724187,0.3845857551693992,0.09554140127388525,67.61152131346296,80.5356682977079,65.94574252661653,100.0,95.2306498912941,0.1837187908341642,63.76351153472643,-0.04496124031007742,-0.04379844961240309,-0.05232558139534882,-0.05813953488372081,-0.14534883720930225
2018-09-25,15.648922424437293,14.072895331194157,0.12948575106689475,71.42857142857143,92.85714285714286,21.42857142857143,-0.2222222222222228,140.70250896057436,15.742203194155211,42.01405971191892,0.2704986246044053,59.21649219746431,0.5727868520509021,0.008595988538681978,57.8711015970776,75.26912181303112,74.18745528943829,45.92681895522205,77.20625620970146,0.20614764077779846,57.10769015421746,0.0012175324675325339,-0.007711038961038974,-0.0137987012987012,-0.10511363636363635,-0.11444805194805197
2018-09-26,16.60726443607382,14.333551304147164,0.16516320838599796,64.28571428571429,85.71428571428572,21.42857142857143,0.006944444444444356,104.97401633259072,16.078928636043134,29.065710587348676,0.3057433910125552,56.77036618370819,0.7279897306627686,0.0538231524989321,58.03946431802157,70.92176474722741,75.57551828598885,7.010912447696025,50.97924380097268,0.22777816644519167,56.402625224049594,-0.00891771382245643,-0.014997973246858476,-0.10620186461289016,-0.11552492906364009,-0.11836238346169436
2018-09-27,17.497153446879164,14.501396401912116,0.19124793765441694,57.142857142857146,78.57142857142857,21.42857142857143,-0.3749999999999942,77.12162297880877,12.527440384416641,29.065710587348665,0.33370319502740237,56.10294662379363,0.8409899552284338,0.07189829022358626,56.263720192208325,49.32549038891339,65.17212564972401,0.0,17.64591046763935,0.2449630012393289,57.746454677966454,-0.006134969325153339,-0.09815950920245398,-0.10756646216768917,-0.11042944785276065,-0.14396728016359928
2018-09-28,17.69973270234517,14.204476173587345,0.22083184690378133,50.0,71.42857142857143,21.42857142857143,-0.21052631578947123,55.61312607944783,10.05503228064977,20.333263023403287,0.35256967578542864,49.791857785142234,0.9690645808653321,0.04696251615682908,55.027516140324884,35.31155432296547,51.8529364863688,0.0,2.3369708158986646,0.2562537539409604,54.816605663478924,-0.09259259259259267,-0.1020576131687243,-0.1049382716049383,-0.13868312757201662,-0.10288065843621408
